<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GAZP,60,20230306,200000,163.7100000,163.7200000,163.4700000,163.5600000,424530
GAZP,60,20230306,210000,163.5600000,163.6400000,163.4000000,163.4000000,356240
GAZP,60,20230306,220000,163.4000000,163.5800000,163.4000000,163.4300000,341820
GAZP,60,20230306,230000,163.4300000,163.5900000,163.4100000,163.4700000,296340
GAZP,60,20230307,000000,163.4600000,163.5000000,163.3000000,163.3500000,397850
GAZP,60,20230307,110000,163.7500000,163.8500000,162.0000000,162.6100000,3779710
GAZP,60,20230307,120000,162.6100000,163.0900000,162.4600000,162.7300000,1173360
GAZP,60,20230307,130000,162.7400000,163.0600000,162.6400000,162.6900000,848800
GAZP,60,20230307,140000,162.7000000,162.9500000,162.7000000,162.9000000,621360
GAZP,60,20230307,150000,162.9100000,162.9800000,162.7200000,162.9500000,726170
GAZP,60,20230307,160000,162.9300000,163.6500000,162.9200000,163.4600000,1690740
GAZP,60,20230307,170000,163.4600000,163.4900000,162.8500000,162.9400000,1441380
GAZP,60,20230307,180000,162.9300000,163.3600000,162.9200000,163.0800000,903750
GAZP,60,20230307,190000,163.0700000,163.1800000,162.5100000,162.9000000,1212050
GAZP,60,20230307,200000,162.9000000,162.9000000,162.5200000,162.7000000,552840
GAZP,60,20230307,210000,162.7100000,162.8100000,162.6000000,162.8100000,205930
GAZP,60,20230307,220000,162.7900000,162.8500000,162.7000000,162.7600000,143000
GAZP,60,20230307,230000,162.7400000,162.8000000,162.5500000,162.6500000,245840
GAZP,60,20230308,000000,162.6400000,162.7000000,162.5000000,162.5700000,293410
GAZP,60,20230309,110000,162.2200000,163.1800000,161.4900000,162.4600000,2869490
GAZP,60,20230309,120000,162.4500000,162.8900000,162.0100000,162.0600000,1579990
GAZP,60,20230309,130000,162.0600000,162.2300000,161.1200000,161.3500000,2563830
GAZP,60,20230309,140000,161.3500000,161.7600000,161.2100000,161.5600000,978550
GAZP,60,20230309,150000,161.5700000,162.0600000,161.4300000,161.9400000,913950
GAZP,60,20230309,160000,161.9300000,162.3200000,161.7100000,161.7500000,697190
GAZP,60,20230309,170000,161.7500000,161.7600000,161.2200000,161.6900000,995840
GAZP,60,20230309,180000,161.6900000,161.7500000,161.6000000,161.6800000,456290
GAZP,60,20230309,190000,161.6700000,161.7600000,161.3000000,161.7500000,1096330
GAZP,60,20230309,200000,161.7400000,161.7500000,161.3200000,161.6100000,221670
GAZP,60,20230309,210000,161.6200000,161.7200000,161.4200000,161.5100000,393410
GAZP,60,20230309,220000,161.5100000,161.6100000,161.4200000,161.4500000,307000
GAZP,60,20230309,230000,161.4500000,161.4800000,161.3100000,161.3100000,415880
GAZP,60,20230310,000000,161.3200000,161.3500000,161.1700000,161.2100000,434920
GAZP,60,20230310,110000,160.5000000,160.5100000,159.5100000,160.1800000,3941010
GAZP,60,20230310,120000,160.1800000,160.9000000,160.1000000,160.8900000,2080810
GAZP,60,20230310,130000,160.9000000,161.2900000,160.7500000,161.0500000,1289100
GAZP,60,20230310,140000,161.0600000,161.2100000,160.4600000,160.5000000,1267900
GAZP,60,20230310,150000,160.5000000,160.5000000,160.1600000,160.4500000,1273940
GAZP,60,20230310,160000,160.4800000,160.5000000,159.9000000,160.1800000,1733620
GAZP,60,20230310,170000,160.1800000,160.4000000,160.1800000,160.3400000,1015640
GAZP,60,20230310,180000,160.3500000,160.3500000,159.9100000,159.9900000,1632250
GAZP,60,20230310,190000,159.9900000,160.3700000,159.7000000,160.2000000,1317320
GAZP,60,20230310,200000,160.3900000,160.3900000,160.0000000,160.2000000,264580
GAZP,60,20230310,210000,160.2000000,160.2200000,160.0000000,160.2000000,279750
GAZP,60,20230310,220000,160.2000000,160.2500000,160.0800000,160.1000000,205180
GAZP,60,20230310,230000,160.1200000,160.1900000,159.8800000,160.0000000,515310
GAZP,60,20230311,000000,160.0000000,160.0800000,159.9500000,160.0400000,306490
GAZP,60,20230313,110000,160.3500000,161.6200000,160.1300000,161.4100000,3725870
GAZP,60,20230313,120000,161.3400000,161.4900000,160.7000000,160.7100000,1179700
GAZP,60,20230313,130000,160.7100000,160.8600000,160.0700000,160.5000000,1784430
GAZP,60,20230313,140000,160.5100000,160.6300000,160.0400000,160.3600000,1013200
GAZP,60,20230313,150000,160.3600000,160.3800000,159.0200000,159.3600000,2730840
GAZP,60,20230313,160000,159.3500000,159.3500000,158.3000000,158.6900000,3358140
GAZP,60,20230313,170000,158.7000000,159.1000000,158.4000000,158.8200000,2079280
GAZP,60,20230313,180000,158.8300000,159.1200000,158.5800000,158.9100000,1745080
GAZP,60,20230313,190000,158.9300000,159.3800000,158.8800000,159.3000000,1000390
GAZP,60,20230313,200000,159.1600000,159.3000000,159.0000000,159.0600000,468970
GAZP,60,20230313,210000,159.0400000,159.1200000,159.0000000,159.1200000,282120
GAZP,60,20230313,220000,159.1300000,159.2900000,159.1300000,159.2100000,170900
GAZP,60,20230313,230000,159.2000000,159.2000000,158.9200000,158.9700000,360860
GAZP,60,20230314,000000,158.9700000,159.1100000,158.9500000,159.0300000,291850
GAZP,60,20230314,110000,158.8900000,159.7900000,158.5500000,159.6200000,2638300
GAZP,60,20230314,120000,159.6100000,160.6800000,159.2900000,160.4000000,1833240
GAZP,60,20230314,130000,160.4000000,160.5000000,160.0000000,160.0200000,1041210
GAZP,60,20230314,140000,160.0200000,160.3000000,159.8400000,160.1000000,1016170
GAZP,60,20230314,150000,160.1000000,160.6000000,160.0000000,160.5000000,1254620
GAZP,60,20230314,160000,160.5000000,161.1600000,160.5000000,160.7600000,2473980
GAZP,60,20230314,170000,160.7600000,161.4000000,160.7200000,161.1400000,1710990
GAZP,60,20230314,180000,161.1500000,161.1900000,160.4200000,160.9900000,1133060
GAZP,60,20230314,190000,160.9900000,161.1900000,160.7900000,161.1700000,945750
GAZP,60,20230314,200000,161.0100000,161.2600000,160.9100000,161.1300000,393360
GAZP,60,20230314,210000,161.1200000,161.1200000,160.5900000,160.7500000,726620
GAZP,60,20230314,220000,160.7700000,160.7800000,160.1100000,160.1300000,1009750
GAZP,60,20230314,230000,160.1300000,160.9400000,160.0600000,160.5500000,817750
GAZP,60,20230315,000000,160.5500000,161.0000000,160.4900000,161.0000000,492800
GAZP,60,20230315,110000,161.5000000,162.4800000,161.1100000,161.7400000,5185400
GAZP,60,20230315,120000,161.7400000,161.8000000,161.3100000,161.8000000,1609620
GAZP,60,20230315,130000,161.8000000,162.0000000,160.8000000,161.5100000,2232470
GAZP,60,20230315,140000,161.5000000,161.5200000,160.7000000,160.7100000,1327550
GAZP,60,20230315,150000,160.7100000,161.1000000,159.1000000,159.1100000,3868450
GAZP,60,20230315,160000,159.1100000,159.4900000,158.0500000,159.3800000,5132640
GAZP,60,20230315,170000,159.3900000,159.6800000,159.0700000,159.4000000,1139930
GAZP,60,20230315,180000,159.3800000,159.6000000,159.0600000,159.1900000,1034320
GAZP,60,20230315,190000,159.1900000,159.5000000,159.1500000,159.1500000,562540
GAZP,60,20230315,200000,159.4200000,159.4200000,158.5000000,158.9500000,1061620
GAZP,60,20230315,210000,158.9400000,159.4200000,158.8600000,159.4200000,393710
GAZP,60,20230315,220000,159.4200000,159.9500000,159.3000000,159.8400000,780980
GAZP,60,20230315,230000,159.8500000,159.8800000,159.5000000,159.6500000,318220
GAZP,60,20230316,000000,159.6400000,159.7900000,159.5100000,159.6800000,232640
GAZP,60,20230316,110000,159.8100000,160.4000000,159.3300000,160.0600000,2617700
GAZP,60,20230316,120000,160.0500000,160.0900000,159.1000000,159.2600000,1099960
GAZP,60,20230316,130000,159.2700000,160.3100000,158.7100000,159.9500000,3447170
GAZP,60,20230316,140000,159.9400000,160.8300000,159.5200000,160.0600000,2105470
GAZP,60,20230316,150000,160.0600000,160.2300000,159.6000000,159.6500000,1311980
GAZP,60,20230316,160000,159.6600000,159.6900000,158.5000000,158.7600000,4775320
GAZP,60,20230316,170000,158.7600000,159.1600000,158.5300000,159.1300000,2188370
GAZP,60,20230316,180000,159.1300000,159.9200000,159.0700000,159.8000000,1412340
GAZP,60,20230316,190000,159.8000000,160.0000000,159.2800000,159.2800000,873570
GAZP,60,20230316,200000,159.9300000,159.9300000,159.2900000,159.4500000,287450
GAZP,60,20230316,210000,159.4500000,159.7500000,159.4300000,159.6600000,182960
GAZP,60,20230316,220000,159.6900000,159.7600000,159.5400000,159.6500000,180670
GAZP,60,20230316,230000,159.6500000,159.7100000,159.5700000,159.7100000,184080
GAZP,60,20230317,000000,159.7000000,159.8800000,159.5400000,159.7100000,242350
